quarter,deaths,pred,pats,smr,crd_rate,location_type,location,location_name,quarter_reg,reg
19,349,418.8753836,13705,0.833183361,2.54651587,hospital,G107H,Glasgow Royal Infirmary / Stobhill,7,0.930845519
19,586,619.6716657,16817,0.945662086,3.484569186,hospital,G405H,Queen Elizabeth University Hospital / Gartnavel,7,0.895856787
19,19,27.50783266,801,0.690712359,2.372034956,hospital,H103H,Caithness General Hospital,7,0.949920181
19,165,222.7724541,7662,0.740666079,2.15348473,hospital,H202H,Raigmore Hospital,7,0.813144406
19,30,18.62749524,401,1.610522489,7.481296758,hospital,H212H,Belford Hospital,7,1.10258306
19,210,277.6671276,8641,0.756301265,2.430274274,hospital,L106H,University Hospital Monklands,7,0.887261317
19,202,253.6551715,7365,0.796356718,2.742701969,hospital,L302H,University Hospital Hairmyres,7,0.869764219
19,265,283.3297179,9592,0.935306053,2.762718932,hospital,L308H,University Hospital Wishaw,7,0.949519676
19,401,475.535546,15372,0.84325978,2.608639084,hospital,N101H,Aberdeen Royal Infirmary,7,0.902383402
19,85,70.5333004,2798,1.205104532,3.037884203,hospital,N411H,Dr Gray's Hospital,7,1.050994284
19,27,30.05263314,743,0.898423771,3.633916555,hospital,R101H,Balfour Hospital,7,1.081253932
19,232,328.3378214,7172,0.706589326,3.234802008,hospital,S116H,Western General Hospital,7,0.727170932
19,145,187.4391883,7080,0.773584229,2.048022599,hospital,S308H,St John's Hospital,7,0.817836834
19,351,421.8852551,11638,0.831979776,3.015982128,hospital,S314H,Royal Infirmary of Edinburgh at Little France,7,0.85492515
19,340,426.1420154,11518,0.797856085,2.951901372,hospital,T101H,Ninewells Hospital,7,0.880648155
19,107,135.3429958,3005,0.790583949,3.560732113,hospital,T202H,Perth Royal Infirmary,7,0.895303899
19,1,1.103681421,1050,0.906058561,0.095238095,hospital,T312H,Stracathro Hospital,7,0.685698109
19,282,310.7970589,8297,0.907344494,3.39881885,hospital,V217H,Forth Valley Royal Hospital,7,0.974929708
19,23,20.70737493,1032,1.110715389,2.228682171,hospital,W107H,Western Isles Hospital,7,1.09900285
19,19,21.42314533,913,0.886891244,2.081051479,hospital,Z102H,Gilbert Bain Hospital,7,1.025437863
20,286,320.700566,9713,0.891797615,2.944507361,hospital,A111H,University Hospital Crosshouse,8,0.840878247
20,212,234.5921117,6783,0.9036962,3.125460711,hospital,A210H,University Hospital Ayr,8,0.899893393
20,149,161.441684,4387,0.922933881,3.39639845,hospital,B120H,Borders General Hospital,8,0.936412237
20,28,20.83036956,831,1.344191226,3.369434416,hospital,C121H,Lorn & Islands Hospital,8,1.069123214
20,139,135.9988401,4695,1.02206754,2.960596379,hospital,C313H,Inverclyde Royal Hospital,8,1.015928989
20,286,288.5110111,10358,0.991296654,2.761150801,hospital,C418H,Royal Alexandra Hospital / Vale of Leven,8,1.043469954
20,29,29.51390844,4619,0.982587584,0.627841524,hospital,D102H,Golden Jubilee National Hospital,8,0.893087142
20,402,437.7067335,8458,0.918423157,4.752896666,hospital,F704H,Victoria Hospital / Queen Margaret Hospital / Forth Park Hospital,8,0.901632417
20,423,467.9285116,14076,0.90398424,3.00511509,hospital,G107H,Glasgow Royal Infirmary / Stobhill,8,0.925925753
20,606,684.4640997,16567,0.885364185,3.657874087,hospital,G405H,Queen Elizabeth University Hospital / Gartnavel,8,0.895913927
20,34,34.16754528,778,0.995096362,4.370179949,hospital,H103H,Caithness General Hospital,8,0.943446922
20,174,224.2072122,7387,0.776067809,2.355489373,hospital,H202H,Raigmore Hospital,8,0.816604957
20,30,18.59548011,371,1.613295265,8.086253369,hospital,H212H,Belford Hospital,8,1.103495373
20,249,292.6457171,8401,0.850858172,2.963932865,hospital,L106H,University Hospital Monklands,8,0.877559596
20,232,271.9658499,7734,0.853048278,2.999741402,hospital,L302H,University Hospital Hairmyres,8,0.860765515
20,254,280.5497208,10228,0.905365364,2.48337896,hospital,L308H,University Hospital Wishaw,8,0.930469183
20,403,460.9553064,14878,0.874271311,2.708697406,hospital,N101H,Aberdeen Royal Infirmary,8,0.901209822
20,90,67.18340726,2889,1.339616487,3.115264798,hospital,N411H,Dr Gray's Hospital,8,1.049209854
20,31,28.90720624,782,1.072396957,3.964194373,hospital,R101H,Balfour Hospital,8,1.059654308
20,231,321.5249042,7159,0.718451345,3.226707641,hospital,S116H,Western General Hospital,8,0.722384691
20,162,194.0606117,7660,0.834790731,2.114882507,hospital,S308H,St John's Hospital,8,0.81183325
20,398,440.2586721,11637,0.904013993,3.420125462,hospital,S314H,Royal Infirmary of Edinburgh at Little France,8,0.854071759
20,428,465.7928437,12002,0.918863408,3.566072321,hospital,T101H,Ninewells Hospital,8,0.875466815
20,132,148.454655,3139,0.889160397,4.205160879,hospital,T202H,Perth Royal Infirmary,8,0.895712819
20,2,2.426180666,1130,0.824340919,0.17699115,hospital,T312H,Stracathro Hospital,8,0.693913219
20,307,318.842392,8371,0.962858164,3.667423247,hospital,V217H,Forth Valley Royal Hospital,8,0.975163913
20,26,26.7302782,1012,0.972679738,2.56916996,hospital,W107H,Western Isles Hospital,8,1.080940857
20,21,19.22107954,895,1.092550497,2.346368715,hospital,Z102H,Gilbert Bain Hospital,8,1.025750789
21,326,355.6955648,10034,0.916514099,3.248953558,hospital,A111H,University Hospital Crosshouse,9,0.832294678
21,199,233.2375134,6570,0.853207518,3.02891933,hospital,A210H,University Hospital Ayr,9,0.8913526
21,152,163.6628456,4564,0.928738587,3.330411919,hospital,B120H,Borders General Hospital,9,0.936624342
21,21,21.30689022,841,0.985596668,2.497027348,hospital,C121H,Lorn & Islands Hospital,9,1.06608
21,153,146.8178829,4876,1.042107385,3.137817884,hospital,C313H,Inverclyde Royal Hospital,9,1.002443064
21,347,314.0197982,10202,1.105025868,3.401293864,hospital,C418H,Royal Alexandra Hospital / Vale of Leven,9,1.039028038
21,24,29.75961495,4815,0.806462047,0.498442368,hospital,D102H,Golden Jubilee National Hospital,9,0.902867195
21,430,451.1242754,8845,0.953174155,4.861503674,hospital,F704H,Victoria Hospital / Queen Margaret Hospital / Forth Park Hospital,9,0.901088482
21,452,477.2132055,14058,0.947165742,3.215251103,hospital,G107H,Glasgow Royal Infirmary / Stobhill,9,0.921005987
21,668,735.1863899,17278,0.908613121,3.866188216,hospital,G405H,Queen Elizabeth University Hospital / Gartnavel,9,0.895971068
21,40,40.833513,829,0.979587527,4.82509047,hospital,H103H,Caithness General Hospital,9,0.936973663
21,215,233.4368304,7561,0.921020045,2.843539214,hospital,H202H,Raigmore Hospital,9,0.820065509
21,31,19.2370575,392,1.611473064,7.908163265,hospital,H212H,Belford Hospital,9,1.104407687
21,298,311.8586677,8372,0.955561063,3.559483994,hospital,L106H,University Hospital Monklands,9,0.867857875
21,248,290.8201553,7657,0.852760703,3.238866397,hospital,L302H,University Hospital Hairmyres,9,0.851766812
21,309,312.2803143,10354,0.98949561,2.984353873,hospital,L308H,University Hospital Wishaw,9,0.911418689
21,454,489.6099367,14375,0.927268762,3.15826087,hospital,N101H,Aberdeen Royal Infirmary,9,0.900036243
21,91,81.47585443,2941,1.116895314,3.094185651,hospital,N411H,Dr Gray's Hospital,9,1.047425423
21,28,27.39638095,789,1.022032803,3.548795944,hospital,R101H,Balfour Hospital,9,1.038054684
21,250,347.476932,7169,0.719472221,3.487236714,hospital,S116H,Western General Hospital,9,0.71759845
21,160,192.4841059,7448,0.831237464,2.148227712,hospital,S308H,St John's Hospital,9,0.805829666
21,429,486.2628246,11385,0.882238942,3.768115942,hospital,S314H,Royal Infirmary of Edinburgh at Little France,9,0.853218368
21,400,464.0002151,12420,0.862068566,3.220611916,hospital,T101H,Ninewells Hospital,9,0.870285475
21,146,151.316558,3196,0.964864665,4.568210263,hospital,T202H,Perth Royal Infirmary,9,0.896121739
21,2,1.899551783,1258,1.052879957,0.158982512,hospital,T312H,Stracathro Hospital,9,0.702128328
21,357,338.1638702,8469,1.05570119,4.215373716,hospital,V217H,Forth Valley Royal Hospital,9,0.975398118
21,21,23.37555796,1068,0.898374278,1.966292135,hospital,W107H,Western Isles Hospital,9,1.062878864
21,23,22.28701925,880,1.031990853,2.613636364,hospital,Z102H,Gilbert Bain Hospital,9,1.026063715
22,240,333.9111982,9764,0.718753972,2.458009013,hospital,A111H,University Hospital Crosshouse,10,0.823711109
22,181,223.5774741,6571,0.809562773,2.754527469,hospital,A210H,University Hospital Ayr,10,0.882811807
22,152,165.8990483,4305,0.916219843,3.530778165,hospital,B120H,Borders General Hospital,10,0.936836446
22,25,21.34641822,587,1.171156666,4.258943782,hospital,C121H,Lorn & Islands Hospital,10,1.063036786
22,140,144.4551827,4618,0.96915872,3.031615418,hospital,C313H,Inverclyde Royal Hospital,10,0.988957139
22,279,290.5106974,9824,0.960377716,2.839983713,hospital,C418H,Royal Alexandra Hospital / Vale of Leven,10,1.034586121
22,22,29.49042544,5105,0.746004836,0.430950049,hospital,D102H,Golden Jubilee National Hospital,10,0.912647247
22,342,402.8061615,8606,0.849043616,3.973971648,hospital,F704H,Victoria Hospital / Queen Margaret Hospital / Forth Park Hospital,10,0.900544548
